"id","created_time","snippet","headline"
8,"2025-07-05T04:01:08Z","Dust and groundwater contaminated with heavy metals and radioactive chemicals pose a health threat that the authorities have been trying to address for years.","China Has Paid a High Price for Its Dominance in Rare Earths"
9,"2025-09-17T17:08:33Z","Readers respond to a guest essay about throwaway plastic. Also: President Trump the divider; stealth legislation.","Facing the Global Problem of Plastic"
10,"2025-06-13T18:17:54Z","Even as global emissions plateau, new research shows that wildlife in the Arctic is exposed to rising levels, posing a risk to those who eat it.","Study Shows Mercury Levels in Arctic Wildlife Could Rise for Centuries"
1,"2025-06-30T09:00:08Z","We asked the experts how to decide.","Do I Really Need an Air Purifier?"
2,"2025-11-17T20:58:27Z","Scientists analyzed thousands of autopsies of seabirds, sea turtles and marine mammals and found that even small amounts of ingested plastic can be deadly.","How Much Plastic Can Kill a Sea Turtle? A New Study Has Answers."
3,"2025-06-19T18:00:05Z","Using crowdsourced data from shore cleanups, researchers found that areas that enacted plastic bag bans or fees had fewer bags littering their lakes, rivers and beaches than those without them.","Banning Plastic Bags Works to Limit Shoreline Litter, Study Finds"
4,"2025-06-10T19:06:41Z","The agency plans to weaken limits on toxic emissions from power plants while also scrapping restrictions on planet-warming greenhouse gases.","Document Shows E.P.A. Plans to Loosen Limits on Mercury From Power Plants"
5,"2025-08-04T09:02:49Z","The toxic byproducts of human civilization are everywhere, even in our bodies.","You Are Contaminated"
6,"2025-12-22T15:08:57Z","The sweeping changes have affected everything from coal plant retirements to international diplomacy over shipping emissions.","How Trump’s First Year Reshaped U.S. Energy and Climate Policy"
7,"2025-12-17T07:00:02Z","This word has appeared in 117 articles on NYTimes.com in the past year. Can you use it in a sentence?","Word of the Day: commensurate"
8,"2025-10-14T20:43:24Z","As President Trump tries to revive the United States coal industry, research has found that closing a coal facility can improve local health.","A Coal-Processing Plant Closed. Local E.R. Visits Dropped Sharply."
9,"2025-06-17T21:46:14Z","The company, xAI, has installed several dozen turbines in Memphis without proper permits, the group said, polluting a nearby community.","Elon Musk’s A.I. Company Faces Lawsuit Over Gas-Burning Turbines"
10,"2025-12-22T19:45:09Z","It’s the latest in a decade-long scandal involving accusations that software “defeat devices” made diesel vehicles seem cleaner than they were.","Mercedes to Pay $150 Million Over Claims It Cheated on Emissions Tests"
1,"2025-04-23T04:01:05Z","Weakening or rolling back longstanding environmental regulations would worsen the problem, the American Lung Association assessment says.","Almost Half of Americans Breathe Unhealthy Air, Report Finds"
2,"2025-03-12T03:35:16Z","An internal memo directs the closure of offices designed to ease the heavy pollution faced by poor and minority communities.","E.P.A. Plans to Close All Environmental Justice Offices"
